id,zip_code,name_th,name_en,latitude,longitude,DistrictId
100101,10200,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,13.751,100.492,1
100102,10200,วังบูรพาภิรมย์,Wang Burapha Phirom,13.744,100.499,1
100103,10200,วัดราชบพิธ,Wat Ratchabophit,13.75,100.499,1
100104,10200,สำราญราษฎร์,Samran Rat,13.751,100.503,1
100105,10200,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,13.754,100.497,1
100106,10200,เสาชิงช้า,Sao Chingcha,13.753,100.5,1
100107,10200,บวรนิเวศ,Bowon Niwet,13.757,100.501,1
100108,10200,ตลาดยอด,Talat Yot,13.76,100.498,1
100109,10200,ชนะสงคราม,Chana Songkhram,13.762,100.495,1
100110,10200,บ้านพานถม,Ban Phan Thom,13.762,100.503,1
100111,10200,บางขุนพรหม,Bang Khun Phrom,13.765,100.505,1
100112,10200,วัดสามพระยา,Wat Sam Phraya,13.768,100.499,1
100201,10300,ดุสิต,Dusit,13.772,100.513,2
100202,10300,วชิรพยาบาล,Wachiraphayaban,13.778,100.505,2
100203,10300,สวนจิตรลดา,Suan Chit Lada,13.767,100.52,2
100204,10300,สี่แยกมหานาค,Si Yaek Maha Nak,13.758,100.517,2
100205,0,*บางซื่อ,*Bang Sue,13.789,100.522,2
100206,10300,ถนนนครไชยศรี,Thanon Nakhon Chai Si,13.823,100.897,2
100299,0,*สามเสนใน,*Sam Sen Nai,13.869,100.885,2
100301,10530,กระทุ่มราย,Krathum Rai,13.914,100.82,3
100302,10530,หนองจอก,Nong Chok,13.914,100.88,3
100303,10530,คลองสิบ,Khlong Sip,13.84,100.836,3
100304,10530,คลองสิบสอง,Khlong Sip Song,13.872,100.81,3
100305,10530,โคกแฝด,Khok Faet,13.797,100.844,3
100306,10530,คู้ฝั่งเหนือ,Khu Fang Nuea,13.781,100.877,3
100307,10530,ลำผักชี,Lam Phak Chi,13.734,100.52,3
100308,10530,ลำต้อยติ่ง,Lam Toiting,13.73,100.525,3
100401,10500,มหาพฤฒาราม,Maha Phruettharam,13.724,100.53,4
100402,10500,สีลม,Si Lom,13.727,100.527,4
100403,10500,สุริยวงศ์,Suriyawong,13.725,100.514,4
100404,10500,บางรัก,Bang Rak,13.868,100.606,4
100405,10500,สี่พระยา,Si Phraya,13.866,100.65,4
100501,0,*ลาดยาว,*Lad Yao,13.786,100.635,5
100502,10220,อนุสาวรีย์,Anusawari,13.756,100.66,5
100503,0,คลองถนน*,Khlong Thanon*,13.744,100.52,5
100504,0,*ตลาดบางเขน,*Talad Bang Khen,13.742,100.526,5
100505,0,*สีกัน,*See Kan,13.74,100.535,5
100506,0,สายไหม*,Sai Mai*,13.736,100.546,5
100507,0,*ทุ่งสองห้อง,*Thung Song Hong,13.743,100.514,5
100508,10220,ท่าแร้ง,Tha Raeng,13.749,100.512,5
100509,0,ออเงิน*,Or Ngern*,13.753,100.513,5
100599,0,*บางเขน,*Bang Khen,13.752,100.507,5
100601,10240,คลองจั่น,Khlong Chan,13.759,100.511,6
100602,0,วังทองหลาง*,Wang Thong Lang*,13.692,100.626,6
100603,0,*ลาดพร้าว,*Lad Prao,13.804,100.723,6
100604,0,*คลองกุ่ม,*Klong Khum,13.812,100.774,6
100605,0,*สะพานสูง,*Saphan Sung,13.723,100.771,6
100606,0,*คันนายาว,*Khan Na Yao,13.753,100.723,6
100607,0,*จรเข้บัว,*Chorakhe Bua,13.753,100.754,6
100608,10240,หัวหมาก,Hua Mak,13.765,100.817,6
100701,10330,รองเมือง,Rong Mueang,13.728,100.815,7
100702,10330,วังใหม่,Wang Mai,13.736,100.855,7
100703,10330,ปทุมวัน,Pathum Wan,13.682,100.533,7
100704,10330,ลุมพินี,Lumphini,13.697,100.544,7
100801,10100,ป้อมปราบ,Pom Prap,13.741,100.504,8
100802,10100,วัดเทพศิรินทร์,Wat Thep Sirin,13.739,100.511,8
100803,10100,คลองมหานาค,Khlong Maha Nak,13.734,100.513,8
100804,10100,บ้านบาตร,Ban Bat,13.782,100.545,8
100805,10100,วัดโสมนัส,Wat Sommanat,13.737,100.493,8
100899,0,*นางเลิ้ง,*Nang Lerng,13.731,100.49,8
100901,0,*คลองเตย,*Khlong Toei,13.72,100.482,9
100902,0,*คลองตัน,*Khlong Ton,13.707,100.486,9
100903,0,*พระโขนง,*Phra Kha Nong,13.715,100.473,9
100904,0,บางนา*,Ban Na*,null,null,9
100905,10260,บางจาก,Bang Chak,null,null,9
100906,0,*สวนหลวง,*Suan Luang,13.743,100.486,9
100907,0,*หนองบอน,*Nong Bon,13.733,100.475,9
100908,0,*ประเวศ,*Prawet,13.769,100.577,9
100909,0,*ดอกไม้,*Dok Mai,13.752,100.586,9
100997,0,*พระโขนง,*Phra Kha Nong,13.796,100.579,9
100998,0,*คลองตัน,*Khlong Ton,13.731,100.497,9
100999,0,*คลองเตย,*Khlong Toei,13.735,100.504,9
101001,10510,มีนบุรี,Min Buri,13.715,100.501,10
101002,10510,แสนแสบ,Saen Saep,13.725,100.508,10
101003,0,บางชัน*,Bang Chan*,13.76,100.456,10
101004,0,ทรายกองดิน*,Sai Kong Din*,13.789,100.459,10
101005,0,ทรายกองดินใต้*,Sai Kong Din Tai*,13.786,100.432,10
101006,0,สามวาตะวันออก*,Sam Wa Ta Wan Ook*,13.752,100.442,10
101007,0,สามวาตะวันตก*,Sam Wa Ta Wan Tok*,13.767,100.431,10
101101,10520,ลาดกระบัง,Lat Krabang,13.751,100.419,11
101102,10520,คลองสองต้นนุ่น,Khlong Song Ton Nun,13.759,100.481,11
101103,10520,คลองสามประเวศ,Khlong Sam Prawet,13.752,100.477,11
101104,10520,ลำปลาทิว,Lam Pla Thio,13.774,100.466,11
101105,10520,ทับยาว,Thap Yao,13.76,100.463,11
101106,10520,ขุมทอง,Khum Thong,13.772,100.477,11
101201,0,*ทุ่งวัดดอน,*Thung Wat Don,13.555,100.434,12
101202,0,*ยานนาวา,*Yan Nawa,13.605,100.395,12
101203,10120,ช่องนนทรี,Chong Nonsi,13.714,100.443,12
101204,10120,บางโพงพาง,Bang Phongphang,13.723,100.437,12
101205,0,*วัดพระยาไกร,*Pra Ya Krai,13.727,100.45,12
101206,0,*บางโคล่,*Bang Khlo,13.736,100.445,12
101207,0,*บางคอแหลม,*Bang Kho Laem,13.738,100.423,12
101208,0,*ทุ่งมหาเมฆ,*Tung Ma Ha Mek,13.722,100.464,12
101298,0,*บางโคล่,*Bang Khlo,13.727,100.457,12
101299,0,*บางคอแหลม,*Bang Kho Laem,13.68,100.358,12
101301,10100,จักรวรรดิ,Chakkrawat,13.714,100.351,13
101302,10100,สัมพันธวงศ์,Samphanthawong,13.67,100.51,13
101303,10100,ตลาดน้อย,Talat Noi,13.675,100.491,13
101401,10400,สามเสนใน,Samsen Nai,13.791,100.487,14
101402,0,*ถนนเพชรบุรี,*Thanon Phetchaburi,13.802,100.512,14
101403,0,*ทุ่งพญาไท,*Thung Phaya Thai,13.781,100.482,14
101404,0,*มักกะสัน,*Makkasan,13.774,100.492,14
101405,0,*ถนนพญาไท,*Thanon Phaya Thai,13.778,100.567,14
101499,0,*ทุ่งพญาไท,*Thung Phaya Thai,13.808,100.65,14
101501,10600,วัดกัลยาณ์,Wat Kanlaya,null,null,15
101502,10600,หิรัญรูจี,Hiran Ruchi,null,null,15
101503,10600,บางยี่เรือ,Bang Yi Ruea,13.71,100.532,15
101504,10600,บุคคโล,Bukkhalo,13.714,100.514,15
101505,10600,ตลาดพลู,Talat Phlu,13.718,100.541,15
101506,10600,ดาวคะนอง,Dao Khanong,13.82,100.529,15
101507,10600,สำเหร่,Samre,null,null,15
101599,0,*คลองสาน,*Klong Sarn,13.826,100.565,15
101601,10600,วัดอรุณ,Wat Arun,null,null,16
101602,10600,วัดท่าพระ,Wat Tha Phra,null,null,16
101701,10310,ห้วยขวาง,Huai Khwang,null,null,17
101702,10310,บางกะปิ,Bang Kapi,null,null,17
101703,0,*ดินแดง,*Din Dang,13.696,100.494,17
101704,10310,สามเสนนอก,Samsen Nok,13.706,100.508,17
101801,10600,สมเด็จเจ้าพระยา,Somdet Chao Phraya,13.694,100.516,18
101802,10600,คลองสาน,Khlong San,13.719,100.664,18
101803,10600,บางลำภูล่าง,Bang Lamphu Lang,13.687,100.656,18
101804,10600,คลองต้นไทร,Khlong Ton Sai,13.68,100.689,18
101901,10170,คลองชักพระ,Khlong Chak Phra,13.71,100.57,19
101902,10170,ตลิ่งชัน,Taling Chan,13.723,100.571,19
101903,10170,ฉิมพลี,Chimphli,13.707,100.595,19
101904,10170,บางพรม,Bang Phrom,13.726,100.628,19
101905,10170,บางระมาด,Bang Ramat,13.694,100.45,19
101906,0,ทวีวัฒนา*,Thawi Watthana*,13.702,100.476,19
101907,10170,บางเชือกหนัง,Bang Chueak Nang,13.672,100.468,19
101908,0,ศาลาธรรมสพน์*,Sala Thammasop*,13.693,100.468,19
102001,0,*บางพลัด,*Bang Phlat,13.925,100.593,20
102002,0,*บางบำหรุ,*Bang Bumru,null,null,20
102003,0,*บางอ้อ,*Bang Aor,null,null,20
102004,10700,ศิริราช,Siri Rat,13.763,100.53,20
102005,10700,บ้านช่างหล่อ,Ban Chang Lo,13.757,100.538,20
102006,10700,บางขุนนนท์,Bang Khun Non,13.752,100.559,20
102007,10700,บางขุนศรี,Bang Khun Si,13.752,100.528,20
102008,0,*บางยี่ขัน,*Bang Yikhan,13.811,100.612,20
102009,10700,อรุณอมรินทร์,Arun Ammarin,13.84,100.6,20
102097,0,*บางยี่ขัน,*Bang Yikhan,13.743,100.56,20
102098,0,*บางบำหรุ,*Bang Bumru,13.736,100.576,20
102099,0,*บางอ้อ,*Bang Aor,13.719,100.596,20
102101,0,*บางค้อ,*Bang Kho,13.698,100.409,21
102102,0,*จอมทอง,*Chom Thong,13.72,100.4,21
102103,0,*บางขุนเทียน,*Bang Khun Thian,13.741,100.385,21
102104,0,บางบอน*,Bang Bon*,13.683,100.396,21
102105,10150,ท่าข้าม,Tha Kham,13.883,100.564,21
102106,0,*บางมด,*Bang Mod,13.871,100.58,21
102107,10150,แสมดำ,Samae Dam,13.921,100.654,21
102201,10160,บางหว้า,Bang Wa,13.896,100.672,22
102202,10160,บางด้วน,Bang Duan,13.898,100.63,22
102203,10160,บางแค,Bang Kae,13.821,100.677,22
102204,10160,บางแคเหนือ,Bang Kae Nua,null,null,22
102205,10160,บางไผ่,Bang Phai,13.761,100.688,22
102206,10160,บางจาก,Bang Chak,13.779,100.609,22
102207,10160,บางแวก,Bang Waek,null,null,22
102208,10160,คลองขวาง,Khlong Khwang,null,null,22
102209,10160,ปากคลองภาษีเจริญ,Pak Khlong Phasi Charoen,null,null,22
102210,10160,คูหาสวรรค์,Khuha Sawan,13.889,100.708,22
102301,0,หลักสอง*,Lak Song*,13.896,100.76,23
102302,10160,หนองแขม,Nong Khaem,13.839,100.7,23
102303,10160,หนองค้างพลู,Nong Khang Phlu,13.854,100.745,23
102401,10140,ราษฎร์บูรณะ,Rat Burana,13.861,100.786,24
102402,10140,บางปะกอก,Bang Pakok,13.672,100.616,24
102403,10140,บางมด*,Bang Mod*,13.758,100.348,24
102404,10140,ทุ่งครุ*,Thung Khru*,13.783,100.39,24
102501,10700,บางพลัด,Bang Phlat,13.651,100.51,25
102502,10700,บางอ้อ,Bang O,13.614,100.497,25
102503,10700,บางบำหรุ,Bang Bamru,13.646,100.37,25
102504,10700,บางยี่ขัน,Bang Yi Khan,null,null,25
102601,10400,ดินแดง,Din Daeng,13.649,100.617,26
102701,10240,คลองกุ่ม,Khlong Kum,13.601,100.622,27
102702,10240,สะพานสูง,Saphan Sung,13.556,100.599,27
102703,10240,คันนายาว,Khan Na Yao,13.526,100.67,27
102801,10120,ทุ่งวัดดอน,Thung Wat Don,13.564,100.653,28
102802,10120,ยานนาวา,Yan Nawa,13.623,100.565,28
102803,10120,ทุ่งมหาเมฆ,Thung Maha Mek,null,null,28
102901,10800,บางซื่อ,Bang Sue,13.622,100.581,29
103001,10900,ลาดยาว,Lat Yao,null,null,30
103002,10900,เสนานิคม,Sena Nikhom,13.634,100.61,30
103003,10900,จันทรเกษม,Chan Kasem,13.572,100.621,30
103004,10900,จอมพล,Chom Phon,13.559,100.691,30
103005,10900,จตุจักร,Chatuchak,13.611,100.862,30
103101,10120,บางคอแหลม,Bang Kho Laem,13.639,100.904,31
103102,10120,วัดพระยาไกร,Wat Phraya Krai,13.574,100.9,31
103103,10120,บางโคล่,Bang Khlo,13.545,100.805,31
103201,10250,ประเวศ,Prawet,13.511,100.835,32
103202,10250,หนองบอน,Nong Bon,13.659,100.925,32
103203,10250,ดอกไม้,Dokmai,13.672,100.881,32
103204,10250,สวนหลวง,Suan Luang,13.624,100.935,32
103301,10110,คลองเตย,Khlong Toei,13.618,100.694,33
103302,10110,คลองตัน,Khlong Tan,13.642,100.662,33
103303,10110,พระโขนง,Phra Khanong,13.561,100.739,33
